D,R,L,ck,ck_medio
1,2048,256,142364,6.951367
1,6144,768,426368,6.939583
1,16384,2048,1136654,6.937585
1,24576,3072,1758762,7.156421
1,65536,8192,4745422,7.240939
1,131072,16384,9685192,7.389215
1,262144,32768,19104210,7.287678
2,1024,256,71362,6.968945
2,3072,768,213952,6.964583
2,8192,2048,613558,7.489722
2,12288,3072,1418880,11.546875
2,32768,8192,2387882,7.287238
2,65536,16384,5001980,7.632416
2,131072,32768,9824078,7.495177
4,512,256,35916,7.014844
4,1536,768,147070,9.574870
4,4096,2048,343920,8.396484
4,6144,3072,436094,7.097884
4,16384,8192,1389228,8.479175
4,32768,16384,2422782,7.393744
4,65536,32768,4863710,7.421432
37,56,256,4026,7.189286
37,167,768,12100,7.245509
37,443,2048,84922,19.169752
37,665,3072,50784,7.636692
37,1772,8192,158098,8.922009
37,3543,16384,548734,15.487835
37,7085,32768,820462,11.580268
100,21,256,1634,7.780952
100,62,768,4774,7.700000
100,164,2048,12092,7.373171
100,246,3072,20238,8.226829
100,656,8192,48760,7.432927
100,1311,16384,122476,9.342182
100,2622,32768,280120,10.683448
