N,alg,ck,ck_medios,t_us
8,secOptUnrollv2,3128,0.667235,2.256000
8,secOptUnrollv2,3132,0.668089,2.201000
8,secOptUnrollv2,3238,0.690700,2.352000
8,secOptUnrollv2,3270,0.697526,2.255000
8,secOptUnrollv2,3988,0.850683,2.571000
8,algAVX2,4224,0.901024,2.695000
8,algAVX2,4326,0.922782,2.660000
8,algAVX2,4370,0.932167,2.777000
8,secOptUnrollv1,4402,0.938993,2.891000
8,secOptUnrollv1,4424,0.943686,2.736000
8,secOptUnrollv1,4430,0.944966,2.838000
8,secOptUnrollv1,4440,0.947099,2.816000
8,algAVX2,4512,0.962457,2.781000
8,secOptUnrollv1,4718,1.006399,2.939000
8,algSec,5026,1.072099,3.312000
8,algSec,5072,1.081911,3.277000
8,secOptOrden,5122,1.092577,3.261000
8,algSec,5126,1.093430,3.300000
8,algSec,5158,1.100256,3.278000
8,secOptOrden,5192,1.107509,3.260000
8,algSec,5240,1.117747,3.298000
8,secOptOrden,5304,1.131399,3.237000
8,algAVX2,5326,1.136092,3.275000
8,secOptOrden,5338,1.138652,3.204000
8,secOptTiling_4,5434,1.159130, 3.206000
8,secOptOrden,5464,1.165529,3.447000
8,secOptTiling_4,5608,1.196246, 3.252000
8,secOptTiling_4,5616,1.197952, 3.311000
8,secOptTiling_4,5634,1.201792, 3.323000
8,secOptTiling_4,5640,1.203072, 3.322000
8,algOmp,190424,40.619454,83.707000
8,algOmp,274048,58.457338,120.043000
8,algOmp,357206,76.195819,198.949000
8,algOmp,362652,77.357509,158.609000
8,algOmp,424066,90.457765,185.380000
64,secOptUnrollv2,130484,0.441493,57.588000
64,secOptUnrollv2,130724,0.442305,57.648000
64,secOptUnrollv2,130744,0.442372,57.762000
64,secOptUnrollv2,134258,0.454262,59.102000
64,secOptUnrollv2,134338,0.454533,59.338000
64,algAVX2,198952,0.673154,87.241000
64,algAVX2,202374,0.684732,88.732000
64,algAVX2,209300,0.708166,91.818000
64,secOptUnrollv1,228610,0.773502,100.089000
64,algAVX2,229386,0.776127,101.059000
64,secOptUnrollv1,230176,0.778800,100.769000
64,secOptUnrollv1,233450,0.789878,102.333000
64,secOptUnrollv1,234712,0.794148,102.769000
64,secOptOrden,294012,0.994789,128.542000
64,secOptOrden,295508,0.999851,129.173000
64,algSec,296834,1.004338,129.792000
64,algSec,296840,1.004358,129.770000
64,algSec,304140,1.029057,132.930000
64,algSec,304506,1.030296,133.092000
64,secOptTiling_4,306806,1.038078, 134.055000
64,secOptTiling_4,307462,1.040297, 134.356000
64,secOptTiling_4,307702,1.041110, 134.433000
64,secOptOrden,312560,1.057547,137.240000
64,secOptOrden,313322,1.060125,137.560000
64,secOptTiling_4,314340,1.063569, 137.529000
64,secOptTiling_4,316024,1.069267, 138.440000
64,algSec,325614,1.101715,142.794000
64,secOptOrden,325782,1.102283,143.164000
64,algOmp,351088,1.187906,153.571000
64,algOmp,393338,1.330859,171.931000
64,algOmp,444446,1.503783,194.198000
64,algAVX2,459642,1.555198,201.040000
64,secOptUnrollv1,729970,2.469853,318.109000
64,algOmp,9646246,32.638067,11796.540000
64,algOmp,11852232,40.102019,15172.787000
1024,algOmp,16966846,0.224703,23782.665000
1024,algOmp,17816984,0.235962,23588.123000
1024,algOmp,18148630,0.240355,26945.102000
1024,algOmp,22832432,0.302385,31669.032000
1024,algOmp,30279710,0.401015,49542.157000
1024,secOptUnrollv2,36440140,0.482602,15343.569000
1024,secOptUnrollv2,36808514,0.487480,15860.594000
1024,secOptUnrollv2,37689516,0.499148,15517.167000
1024,secOptUnrollv2,37986504,0.503081,15851.603000
1024,secOptUnrollv2,49953818,0.661572,18574.522000
1024,algAVX2,53240902,0.705105,22917.467000
1024,algAVX2,56130582,0.743375,24290.498000
1024,algAVX2,57066818,0.755775,23662.489000
1024,algAVX2,57338824,0.759377,23180.293000
1024,secOptUnrollv1,62080778,0.822178,26912.004000
1024,secOptUnrollv1,62122754,0.822734,26373.324000
1024,secOptUnrollv1,62995600,0.834294,27202.219000
1024,secOptUnrollv1,65469678,0.867059,27055.701000
1024,algAVX2,66849850,0.885338,28888.168000
1024,secOptUnrollv1,67228274,0.890350,28498.329000
1024,secOptOrden,78755266,1.043010,34135.966000
1024,secOptOrden,81339224,1.077231,34525.204000
1024,algSec,81479898,1.079094,34902.322000
1024,secOptTiling_4,82169136,1.088222, 35652.756000
1024,secOptTiling_4,82633984,1.094378, 35848.762000
1024,secOptTiling_4,83380604,1.104266, 36193.534000
1024,secOptTiling_4,85685298,1.134789, 35692.245000
1024,secOptOrden,86301414,1.142948,35279.789000
1024,algSec,86514356,1.145768,35669.657000
1024,algSec,86747096,1.148851,35938.006000
1024,secOptOrden,86904534,1.150936,35859.299000
1024,secOptTiling_4,88226652,1.168446, 38204.336000
1024,algSec,89381910,1.183745,36055.311000
1024,secOptOrden,92199328,1.221058,38177.073000
1024,algSec,100402460,1.329698,35502.312000
2048,algOmp,65297708,0.216210,104766.075000
2048,algOmp,71532320,0.236854,115591.398000
2048,algOmp,84795150,0.280769,139044.192000
2048,algOmp,89243756,0.295499,146624.704000
2048,secOptUnrollv2,151306372,0.500997,64845.711000
2048,secOptUnrollv2,154676108,0.512155,67131.307000
2048,secOptUnrollv2,154693196,0.512212,66002.569000
2048,secOptUnrollv2,156190909,0.517171,66678.386000
2048,algOmp,159272670,0.527375,184789.513000
2048,secOptUnrollv2,172327806,0.570602,74382.252000
2048,algAVX2,217442746,0.719984,92918.183000
2048,algAVX2,218306274,0.722844,93265.691000
2048,algAVX2,218760148,0.724346,93263.687000
2048,algAVX2,219731623,0.727563,94493.145000
2048,algAVX2,226078184,0.748578,97564.639000
2048,secOptUnrollv1,257320017,0.852024,111003.102000
2048,secOptUnrollv1,259037258,0.857710,110851.630000
2048,secOptUnrollv1,260216708,0.861615,110417.900000
2048,secOptUnrollv1,266558866,0.882615,113238.021000
2048,secOptUnrollv1,268726885,0.889794,114543.297000
2048,secOptOrden,311410578,1.031125,134571.657000
2048,secOptOrden,313741016,1.038842,134920.579000
2048,secOptOrden,323307156,1.070517,137176.338000
2048,secOptOrden,325053404,1.076299,136156.222000
2048,algSec,334283662,1.106862,142678.932000
2048,algSec,336103287,1.112887,142384.251000
2048,secOptTiling_4,336719960,1.114928, 145638.482000
2048,secOptOrden,339450352,1.123969,141984.074000
2048,algSec,339942934,1.125600,143574.726000
2048,secOptTiling_4,342300666,1.133407, 148503.005000
2048,secOptTiling_4,342545870,1.134219, 147056.398000
2048,secOptTiling_4,346443302,1.147124, 149602.515000
2048,algSec,356248356,1.179590,153969.295000
2048,secOptTiling_4,364691626,1.207547, 152466.527000
2048,algSec,368673756,1.220732,154200.486000
4096,algOmp,286604730,0.237255,481070.190000
4096,algOmp,286928566,0.237524,486798.381000
4096,algOmp,307906758,0.254890,512582.209000
4096,algOmp,322789798,0.267210,525663.349000
4096,algOmp,355407008,0.294211,569660.271000
4096,secOptUnrollv2,658184789,0.544855,285471.145000
4096,secOptUnrollv2,659876842,0.546255,284577.029000
4096,secOptUnrollv2,676640106,0.560132,290704.766000
4096,secOptUnrollv2,677278762,0.560661,292091.237000
4096,secOptUnrollv2,717537726,0.593988,296339.354000
4096,algAVX2,888583122,0.735582,383863.781000
4096,algAVX2,892036443,0.738440,385318.127000
4096,algAVX2,908581340,0.752137,390391.525000
4096,algAVX2,924074578,0.764962,400123.816000
4096,algAVX2,927510134,0.767806,400992.244000
4096,secOptUnrollv1,1074156145,0.889202,465163.289000
4096,secOptUnrollv1,1076342220,0.891011,465325.072000
4096,secOptUnrollv1,1082792158,0.896351,468330.018000
4096,secOptUnrollv1,1090051858,0.902360,469124.081000
4096,secOptOrden,1205600580,0.998013,522735.573000
4096,secOptOrden,1215931236,1.006565,524972.292000
4096,secOptOrden,1221227786,1.010950,526228.093000
4096,secOptUnrollv1,1251260936,1.035812,541945.485000
4096,secOptOrden,1266148731,1.048136,548169.169000
4096,secOptOrden,1323743864,1.095814,558150.092000
4096,algSec,1393680806,1.153709,604003.874000
4096,secOptTiling_4,1402910432,1.161349, 608329.449000
4096,algSec,1402983154,1.161409,605500.382000
4096,secOptTiling_4,1419265342,1.174888, 615426.555000
4096,secOptTiling_4,1419282048,1.174902, 613608.673000
4096,algSec,1452263725,1.202205,620684.598000
4096,algSec,1464113767,1.212014,625296.610000
4096,secOptTiling_4,1512744066,1.252271, 651490.944000
4096,secOptTiling_4,1518823483,1.257304, 657517.766000
4096,algSec,1648293657,1.364481,700525.671000
