N,ck,ck_medios
250,4615264,1.025045
250,4639964,1.030531
250,4728882,1.050279
250,4745836,1.054045
250,4984012,1.106943
250,4993066,1.108954
250,4996650,1.109750
250,5194606,1.153716
250,5721644,1.270770
250,5892074,1.308623
500,18605908,1.033375
500,19099482,1.060788
500,19102678,1.060965
500,19607386,1.088997
500,19821154,1.100869
500,19875072,1.103864
500,20603546,1.144324
500,20630830,1.145839
500,21077512,1.170648
500,22386676,1.243359
750,42250354,1.043025
750,42551332,1.050456
750,42962104,1.060596
750,43055810,1.062910
750,43843194,1.082348
750,44183644,1.090752
750,44327140,1.094295
750,45469424,1.122494
750,46137821,1.138995
750,58315294,1.439617
1000,105386307,1.463495
1000,112734196,1.565535
1000,75255232,1.045066
1000,75379840,1.046797
1000,76068230,1.056356
1000,77126846,1.071057
1000,77300078,1.073463
1000,77734628,1.079498
1000,78311280,1.087506
1000,78951024,1.096390
1500,170750978,1.053921
1500,172842122,1.066828
1500,173147958,1.068716
1500,174780278,1.078791
1500,175050366,1.080458
1500,176657706,1.090379
1500,177623768,1.096341
1500,178701540,1.102994
1500,178951786,1.104538
1500,179078910,1.105323
2000,304505512,1.057237
2000,306675002,1.064770
2000,310001852,1.076321
2000,314646942,1.092448
2000,318835570,1.106991
2000,319019107,1.107628
2000,319287474,1.108560
2000,324293180,1.125940
2000,352094734,1.222466
2000,353969707,1.228976
2550,497461828,1.062486
2550,504393682,1.077291
2550,504450651,1.077413
2550,505958596,1.080634
2550,508565277,1.086201
2550,520453882,1.111593
2550,523252877,1.117571
2550,531799638,1.135825
2550,536032114,1.144865
2550,538909651,1.151011
3000,688821558,1.062947
3000,693157413,1.069638
3000,703691249,1.085893
3000,720840134,1.112356
3000,727005582,1.121870
3000,728409826,1.124037
3000,732548265,1.130423
3000,742711284,1.146106
3000,752910724,1.161845
3000,785110136,1.211534
